NThreads;Kernel;Texec;Gflops
1;0;452.003662;2.432528
2;0;257.200104;4.274927
3;0;180.102310;6.104928
4;0;139.140884;7.902146
5;0;114.150368;9.632133
6;0;94.872734;11.589333
7;0;85.138283;12.914421
8;0;76.347214;14.401464
9;0;69.943344;15.720032
10;0;63.772896;17.241049
11;0;61.477535;17.884771
12;0;54.909958;20.023903
13;0;50.665764;21.701275
14;0;49.628845;22.154688
15;0;49.139996;22.375086
16;0;45.347828;24.246180
17;0;41.196476;26.689457
31;0;33.358555;32.960407
32;0;31.801006;34.574745
64;0;67.678452;16.246111
128;0;70.850838;15.518682
1;1;29.498524;37.273445
2;1;15.190453;72.381760
3;1;10.761679;102.169151
4;1;8.116931;135.459030
5;1;7.024365;156.528259
6;1;5.848211;188.008209
7;1;5.316283;206.819641
8;1;5.271373;208.581635
9;1;4.790000;229.543121
10;1;4.717260;233.082672
11;1;4.560236;241.108490
12;1;4.307291;255.267578
13;1;3.800655;289.295319
14;1;4.202427;261.637268
15;1;3.788875;290.194702
16;1;3.559551;308.890564
17;1;4.254651;258.425842
31;1;3.744995;293.594971
32;1;3.841096;286.249481
64;1;4.121397;266.781281
