1;0;452.003662;2.432528
2;0;257.200104;4.274927
3;0;180.102310;6.104928
4;0;139.140884;7.902146
5;0;114.150368;9.632133
6;0;94.872734;11.589333
7;0;85.138283;12.914421
8;0;76.347214;14.401464
9;0;69.943344;15.720032
10;0;63.772896;17.241049
11;0;61.477535;17.884771
12;0;54.909958;20.023903
13;0;50.665764;21.701275
14;0;49.628845;22.154688
15;0;49.139996;22.375086
16;0;45.347828;24.246180
17;0;41.196476;26.689457
31;0;33.358555;32.960407
32;0;31.801006;34.574745
64;0;67.678452;16.246111
128;0;70.850838;15.518682
