NThreads;Kernel;Texec;Gflops
1;0;0.520950;4.122248
2;0;0.357548;6.006148
3;0;0.278963;7.698102
4;0;0.190764;11.257251
5;0;0.208818;10.283995
6;0;0.175734;12.220063
7;0;0.173078;12.407601
8;0;0.163622;13.124660
9;0;0.155577;13.803310
10;0;0.149068;14.406050
11;0;0.134641;15.949668
12;0;0.124031;17.314039
13;0;0.126938;16.917536
14;0;0.105798;20.298010
15;0;0.113264;18.959963
16;0;0.115440;18.602631
17;0;0.113715;18.884815
31;0;0.105996;20.260107
32;0;0.090413;23.751829
64;0;0.077126;27.843742
128;0;0.094898;22.629473
1;1;0.103768;20.695053
2;1;0.057917;37.078629
3;1;0.080299;26.743559
4;1;0.088425;24.286041
5;1;0.103979;20.653059
6;1;0.091407;23.493618
7;1;0.087208;24.624735
8;1;0.079814;26.906036
9;1;0.097118;22.112206
10;1;0.075034;28.619993
11;1;0.063808;33.655445
12;1;0.069591;30.858500
13;1;0.066496;32.294697
14;1;0.087443;24.558592
15;1;0.044415;48.350235
16;1;0.060671;35.395706
17;1;0.082836;25.924606
31;1;0.093518;22.963232
32;1;0.064566;33.260143
64;1;0.098768;21.742773
